"","paper_id","value"
"1","@1.WillVladimirPutinbePresidentofRussia",75
"2","@10.WillChinalaunchafullscaleinvasionofTaiwan",3
"3","@11.WillanynewcountryjoinNATO",80
"4","@12.WillAliKhameiniceasetobeSupremeLeaderofIran",21
"5","@13.WillanyotherwarhavemorecasualtiesthanRussiaUkraine",12
"6","@14.Willtherebemorethan25millionconfirmedCOVIDcasesinChina",50
"7","@15.WillpredictionmarketssayJoeBidenisthemostlikelyDemocraticnom",70
"8","@16.WillpredictionmarketssayGavinNewsomisthemostlikelyDemocratic",9
"9","@17.WillpredictionmarketssayDonaldTrumpisthemostlikelyRepublican",35
"10","@18.WillpredictionmarketssayRonDeSantisisthemostlikelyRepublican",60
"11","@19.WilltheSupremeCourtruleagainstaffirmativeaction",78
"12","@2.WillUkrainecontrolthecityofSevastopol",8
"13","@20.WilltherebeanychangeinthecompositionoftheSupremeCourt",17
"14","@21.WillDonaldTrumpmakeatleastonetweet",75
"15","@22.WillJoeBidenhaveapositiveapprovalminusdispprovalrating",16
"16","@23.WillDonaldTrumpgetindictedoncriminalcharges",52
"17","@24.WillamajorUSpoliticalfigurebekilledorwoundedinanassassinatio",NA
"18","@25.WillRishiSunakbePrimeMinisteroftheUK",80
"19","@26.WilltheUKholdageneralelection",15
"20","@27.WillElonMuskremainownerofTwitter",82
"21","@28.WillTwitterapossnetincomebehigherin2023thanin2022",50
"22","@29.WillTwitterapossaveragemonetizabledailyusersbehigherin2023th",59
"23","@3.WillUkrainecontrolthecityofLuhansk",16
"24","@30.WillUSCPIinflationfor2023averageabove4",50
"25","@31.WilltheSampP500indexgoupover2023",50
"26","@32.WilltheSampP500indexreachanewalltimehigh",50
"27","@33.WilltheShanghaiindexofChinesestocksgoupover2023",50
"28","@34.WillBitcoingoupover2023",50
"29","@35.WillBitcoinend2023above$30000",50
"30","@36.WillTetherdepeg",50
"31","@37.WilltheUSunemploymentratenow3.7beabove4inNovember2023",50
"32","@38.WillanyFAANGorMuskcompanyacceptcryptoasapayment",50
"33","@39.WillOpenAIreleaseGPT4",50
"34","@4.WillUkrainecontrolthecityofZaporizhzhia",50
"35","@40.WillSpaceXapossStarshipreachorbit",50
"36","@41.WillanimagemodelwinScottAlexanderï¿½sbetoncompositionalitytoEd",50
"37","@42.WillCOVIDkillatleast50asmanypeoplein2023asitdidin2022",50
"38","@43.WillanewversionofCOVIDbesubstantiallyabletoescapeOmicronvacc",50
"39","@44.WillGoogleMetaAmazonorApplereleaseanARheadset",50
"40","@45.WillanordinarypersonbeabletotakeaselfdrivingtaxifromOaklandS",50
"41","@46.WillaculturedmeatproductbeavailableinatleastoneUSstoreorrest",50
"42","@47.Willasuccessfuldeepfakeattemptcausingrealdamagemakethefrontp",50
"43","@48.WillWHOdeclareanewGlobalHealthEmergency",50
"44","@49.WillAIwinaprogrammingcompetition",50
"45","@5.WilltherebealastingceasefireintheRussiaUkrainewar",50
"46","@50.WillsomeonereleasequotDALLEbutforvideosquot",50
"47","@6.WilltheKerchBridgebedestroyedsuchthatnovehiclecanpassoverit",50
"48","@7.WillanissueinvolvinganuclearpowerplantinUkrainerequireevacuat",50
"49","@8.Willanuclearweaponbedetonatedincludingtestsandaccidents",50
"50","@9.Willanuclearweaponbeusedinwarienotatestoraccidentandkillatlea",50
